iv,iv_list,split_list,var_name,woe_list
1.001783709,0.894453159,"(-INF,31.62]",total_cnt,-5.210268228
1.001783709,0.000565511,"(31.62,41.0]",total_cnt,-0.104620861
1.001783709,0.003423125,"(41.0,52.0]",total_cnt,-0.265462611
1.001783709,0.00055572,"(52.0,62.0]",total_cnt,0.106302579
1.001783709,1.41E-05,"(62.0,74.0]",total_cnt,0.016294772
1.001783709,0.002818644,"(74.0,91.0]",total_cnt,0.182726707
1.001783709,0.041559468,"(91.0,119.0]",total_cnt,0.624542509
1.001783709,6.92E-07,"(119.0,138.0]",total_cnt,0.003337274
1.001783709,0.016210415,"(138.0,168.0]",total_cnt,0.448750929
1.001783709,0.000230958,"(168.0,200.0]",total_cnt,0.062852462
1.001783709,0.016642292,"(200.0,231.0]",total_cnt,0.557982933
1.001783709,0.005933422,"(231.0,295.0]",total_cnt,0.266463992
1.001783709,0.000278926,"(295.0,366.0]",total_cnt,0.072103718
1.001783709,0.010100791,"(366.0,461.0]",total_cnt,-0.500268102
1.001783709,0.00899644,"(461.0,+INF)",total_cnt,0.342691357
0.025531768,0.014877963,"(-INF,0.0]",num_cnt,-0.223130943
0.025531768,0.005279097,"(0.0,1.0]",num_cnt,0.172034112
0.025531768,0.000362613,"(1.0,2.0]",num_cnt,0.059483565
0.025531768,0.000154625,"(2.0,3.0]",num_cnt,-0.048174952
0.025531768,0.004539314,"(3.0,6.0]",num_cnt,0.181423209
0.025531768,0.000318156,"(6.0,+INF)",num_cnt,0.038766372
0.007267493,0.001447748,"(-INF,0.0]",char_cnt,-0.042664378
0.007267493,0.004441515,"(0.0,1.0]",char_cnt,0.182990247
0.007267493,0.00137823,"(1.0,+INF)",char_cnt,0.140870575
0.013813292,8.24E-05,"(-INF,0.0]",num_charcnt,0.012323742
0.013813292,2.38E-05,"(0.0,1.0]",num_charcnt,0.010969723
0.013813292,0.002220204,"(1.0,4.0]",num_charcnt,0.109885895
0.013813292,0.011486917,"(4.0,+INF)",num_charcnt,-0.396975839
0.13757568,0.109685691,"(-INF,3.0]",name_maxcnt,-1.582964935
0.13757568,0.003124808,"(3.0,4.0]",name_maxcnt,-0.207912238
0.13757568,0.000158075,"(4.0,5.0]",name_maxcnt,-0.043430788
0.13757568,0.002608447,"(5.0,6.0]",name_maxcnt,0.134290087
0.13757568,0.002451627,"(6.0,7.0]",name_maxcnt,0.166379105
0.13757568,0.016937361,"(7.0,10.0]",name_maxcnt,0.303640842
0.13757568,0.000117247,"(10.0,11.0]",name_maxcnt,-0.026336355
0.13757568,0.001072823,"(11.0,15.0]",name_maxcnt,0.088457219
0.13757568,0.001419602,"(15.0,+INF)",name_maxcnt,-0.148902905
0.016682584,0.00284279,"(-INF,1.0]",name_mincnt,0.058610895
0.016682584,0.013839795,"(1.0,+INF)",name_mincnt,-0.286060661
0.019914324,0.003765646,"(-INF,2.0]",name_avgcnt,-0.076840588
0.019914324,0.0004976,"(2.0,3.0]",name_avgcnt,0.043053549
0.019914324,0.015651078,"(3.0,+INF)",name_avgcnt,0.416580199
0.068801841,0.031720214,"(-INF,0.0]",spchar_cnt,-0.279642069
0.068801841,0.00249121,"(0.0,1.0]",spchar_cnt,0.131970326
0.068801841,0.014317591,"(1.0,4.0]",spchar_cnt,0.284247761
0.068801841,6.55E-05,"(4.0,35.0]",spchar_cnt,0.018868279
0.068801841,0.020207343,"(35.0,+INF)",spchar_cnt,0.494842036
0.049686081,0.041779336,"(-INF,0.0]",name_if_dup,-0.514601034
0.049686081,0.007906745,"(0.0,+INF)",name_if_dup,0.097242048
0.101164611,0.041779336,"(-INF,0.0]",name_dup_cnt,-0.514601034
0.101164611,0.000927199,"(0.0,1.0]",name_dup_cnt,-0.090407715
0.101164611,0.008783366,"(1.0,2.0]",name_dup_cnt,0.308205181
0.101164611,0.015282003,"(2.0,3.0]",name_dup_cnt,0.441243031
0.101164611,0.016642073,"(3.0,5.0]",name_dup_cnt,0.391841298
0.101164611,0.00159979,"(5.0,33.0]",name_dup_cnt,0.068432305
0.101164611,0.002636342,"(33.0,63.0]",name_dup_cnt,-0.239913949
0.101164611,0.013514501,"(63.0,+INF)",name_dup_cnt,-0.51138619
0.053720668,0.004141644,"(-INF,0.0]",name_num_dup_cnt,0.077002621
0.053720668,0.0034386,"(0.0,4.0]",name_num_dup_cnt,0.145981063
0.053720668,0.029569295,"(4.0,20.0]",name_num_dup_cnt,-0.69483324
0.053720668,0.016571129,"(20.0,+INF)",name_num_dup_cnt,-0.478066948
0.026903332,0.013839795,"(-INF,0.0]",name_one_cnt,-0.286060661
0.026903332,7.69E-06,"(0.0,1.0]",name_one_cnt,0.007542747
0.026903332,0.000702395,"(1.0,3.0]",name_one_cnt,0.054055541
0.026903332,0.002562688,"(3.0,4.0]",name_one_cnt,0.180722029
0.026903332,0.002985619,"(4.0,5.0]",name_one_cnt,0.208131687
0.026903332,0.000198492,"(5.0,6.0]",name_one_cnt,0.064671195
0.026903332,0.00292659,"(6.0,12.0]",name_one_cnt,0.135051992
0.026903332,0.003680062,"(12.0,+INF)",name_one_cnt,-0.196003166
0.063342721,0.011513344,"(-INF,0.0]",name_null_cnt,-0.123537426
0.063342721,0.028951419,"(0.0,1.0]",name_null_cnt,0.575443767
0.063342721,0.022868926,"(1.0,3.0]",name_null_cnt,0.541978448
0.063342721,9.03E-06,"(3.0,+INF)",name_null_cnt,0.011115091
0.925470014,0.271989193,"(-INF,0.0]",num_split_cnt,-0.649391212
0.925470014,0.216887218,"(0.0,36.0]",num_split_cnt,1.228019863
0.925470014,0.228042281,"(36.0,93.0]",num_split_cnt,1.834110357
0.925470014,0.208551322,"(93.0,+INF)",num_split_cnt,1.7672356
0.905177839,0.273246992,"(-INF,0.0]",if_both_numsplit,-0.650662021
0.905177839,0.631930847,"(0.0,+INF)",if_both_numsplit,1.504330802
0.055466416,0.001917525,"(-INF,0.0]",num_dup_cnt,0.061875871
0.055466416,0.003347316,"(0.0,1.0]",num_dup_cnt,0.147751336
0.055466416,0.007862246,"(1.0,3.0]",num_dup_cnt,0.256258851
0.055466416,0.012138819,"(3.0,34.0]",num_dup_cnt,-0.267489526
0.055466416,0.030200511,"(34.0,+INF)",num_dup_cnt,-0.777899838
0.671276622,0.572963075,"(-INF,30.0]",num_sj_cnt,-3.206686538
0.671276622,0.000455167,"(30.0,47.0]",num_sj_cnt,-0.069694194
0.671276622,0.000520896,"(47.0,57.0]",num_sj_cnt,-0.100514079
0.671276622,0.004879328,"(57.0,71.0]",num_sj_cnt,0.268293067
0.671276622,0.000760122,"(71.0,82.0]",num_sj_cnt,-0.125574652
0.671276622,0.027303536,"(82.0,97.0]",num_sj_cnt,0.581442806
0.671276622,0.003109746,"(97.0,116.0]",num_sj_cnt,0.221457492
0.671276622,0.025428085,"(116.0,130.0]",num_sj_cnt,0.658208228
0.671276622,0.007458292,"(130.0,170.0]",num_sj_cnt,0.277094074
0.671276622,0.000289066,"(170.0,198.0]",num_sj_cnt,-0.079186781
0.671276622,0.02123856,"(198.0,250.0]",num_sj_cnt,0.491676493
0.671276622,0.000291566,"(250.0,312.0]",num_sj_cnt,0.070757641
0.671276622,0.002513174,"(312.0,391.0]",num_sj_cnt,-0.227223183
0.671276622,0.004066009,"(391.0,+INF)",num_sj_cnt,0.211499147
0.134071441,0.089203303,"(-INF,0.0]",num_gh_cnt,-0.83448893
0.134071441,0.009203557,"(0.0,1.0]",num_gh_cnt,-0.281129118
0.134071441,0.000184428,"(1.0,2.0]",num_gh_cnt,0.044958949
0.134071441,0.025170435,"(2.0,6.0]",num_gh_cnt,0.34521025
0.134071441,0.010295473,"(6.0,54.0]",num_gh_cnt,0.161972463
0.134071441,1.42E-05,"(54.0,+INF)",num_gh_cnt,-0.017311377
0.03792194,0.014819123,"(-INF,0.0]",ex_short_cnt,-0.157789347
0.03792194,0.012185339,"(0.0,1.0]",ex_short_cnt,0.278480114
0.03792194,0.003210484,"(1.0,4.0]",ex_short_cnt,0.162355898
0.03792194,0.007706994,"(4.0,+INF)",ex_short_cnt,0.252619534
0.000433378,8.21E-05,"(-INF,0.0]",ex_long_cnt,-0.010140704
0.000433378,0.00012673,"(0.0,1.0]",ex_long_cnt,0.034044156
0.000433378,0.000224527,"(1.0,+INF)",ex_long_cnt,0.049920215
0.422693284,0.131356698,"(-INF,0.0]",with_86_cnt,-0.445277125
0.422693284,0.113817159,"(0.0,1.0]",with_86_cnt,1.065166153
0.422693284,0.136444209,"(1.0,7.0]",with_86_cnt,0.976038114
0.422693284,0.041075219,"(7.0,+INF)",with_86_cnt,0.847363115
0.269703534,0.026757869,"(-INF,0.0]",with_space_cnt,-0.174437544
0.269703534,0.242945665,"(0.0,+INF)",with_space_cnt,1.582530074
0.311468554,0.084358175,"(-INF,0.0]",without_space_cnt,-0.346441366
0.311468554,0.129105543,"(0.0,1.0]",without_space_cnt,1.102529912
0.311468554,0.098004836,"(1.0,+INF)",without_space_cnt,0.774607651
0.069546924,0.029605323,"(-INF,0.0]",without_areacode_cnt,-0.244456534
0.069546924,0.001164364,"(0.0,1.0]",without_areacode_cnt,0.080586126
0.069546924,0.007412378,"(1.0,3.0]",without_areacode_cnt,0.229576552
0.069546924,0.03136486,"(3.0,+INF)",without_areacode_cnt,0.421044671
0.134954814,0.014877963,"(-INF,0.0]",rate_num_cnt,-0.223130943
0.134954814,0.002264207,"(0.0,0.008912656]",rate_num_cnt,0.155707787
0.134954814,0.022542147,"(0.008912656,0.0113636364]",rate_num_cnt,0.640267503
0.134954814,0.028805683,"(0.0113636364,0.0138888889]",rate_num_cnt,0.718480697
0.134954814,0.000600546,"(0.0138888889,0.0165289256]",rate_num_cnt,-0.116840972
0.134954814,0.016583881,"(0.0165289256,0.0208485772]",rate_num_cnt,0.489106205
0.134954814,0.001133983,"(0.0208485772,0.026029416487]",rate_num_cnt,-0.145232503
0.134954814,0.008076598,"(0.026029416487,0.03173884934]",rate_num_cnt,0.380973543
0.134954814,0.00065293,"(0.03173884934,0.0398550725]",rate_num_cnt,-0.103814301
0.134954814,0.019239995,"(0.0398550725,0.0526315789]",rate_num_cnt,-0.615446485
0.134954814,0.000657158,"(0.0526315789,0.0714285714]",rate_num_cnt,0.105505448
0.134954814,0.018385739,"(0.0714285714,0.1111111111]",rate_num_cnt,-0.705277199
0.134954814,0.001133983,"(0.1111111111,+INF)",rate_num_cnt,-0.145232503
0.021770731,0.001447748,"(-INF,0.0]",rate_char_cnt,-0.042664378
0.021770731,0.000782192,"(0.0,0.0059259651]",rate_char_cnt,0.093230497
0.021770731,0.018849058,"(0.0059259651,0.01183876322]",rate_char_cnt,0.590253436
0.021770731,0.000691734,"(0.01183876322,+INF)",rate_char_cnt,-0.110356466
0.053335673,8.24E-05,"(-INF,0.0]",rate_num_charcnt,0.012323742
0.053335673,0.002666438,"(0.0,0.003617433156]",rate_num_charcnt,0.233888497
0.053335673,0.000719211,"(0.003617433156,0.0067567568]",rate_num_charcnt,0.097057521
0.053335673,0.016614737,"(0.0067567568,0.0114942529]",rate_num_charcnt,0.406204763
0.053335673,0.012710891,"(0.0114942529,0.0163934426]",rate_num_charcnt,-0.497780538
0.053335673,0.000631313,"(0.0163934426,0.0222222222]",rate_num_charcnt,-0.113613428
0.053335673,5.34E-05,"(0.0222222222,0.0357142857]",rate_num_charcnt,0.030716592
0.053335673,0.019857291,"(0.0357142857,+INF)",rate_num_charcnt,-0.537815174
0.569116566,0.000600546,"(-INF,0.018018018]",rate_name_maxcnt,-0.116840972
0.569116566,0.00496007,"(0.018018018,0.0247933884]",rate_name_maxcnt,0.274254195
0.569116566,3.59E-05,"(0.0247933884,0.030833756116]",rate_name_maxcnt,-0.025033423
0.569116566,0.015779313,"(0.030833756116,0.0390625]",rate_name_maxcnt,0.407049226
0.569116566,0.000406876,"(0.0390625,0.0447761194]",rate_name_maxcnt,0.080698771
0.569116566,0.013288543,"(0.0447761194,0.0507246377]",rate_name_maxcnt,0.46352783
0.569116566,0.023943214,"(0.0507246377,0.056191507618]",rate_name_maxcnt,0.663257021
0.569116566,0.012362144,"(0.056191507618,0.0694444444]",rate_name_maxcnt,0.362493984
0.569116566,0.000212569,"(0.0694444444,0.0793650794]",rate_name_maxcnt,-0.060888737
0.569116566,0.005506726,"(0.0793650794,0.0892857143]",rate_name_maxcnt,0.314117984
0.569116566,0.000431252,"(0.0892857143,0.1028037383]",rate_name_maxcnt,0.087799107
0.569116566,0.012658127,"(0.1028037383,0.1170212766]",rate_name_maxcnt,0.489047765
0.569116566,0.001165316,"(0.1170212766,0.134907303385]",rate_name_maxcnt,-0.159205636
0.569116566,0.016791168,"(0.134907303385,0.1612903226]",rate_name_maxcnt,-0.678959891
0.569116566,0.010953046,"(0.1612903226,0.2105263158]",rate_name_maxcnt,-0.492955886
0.569116566,0.064420615,"(0.2105263158,0.362853535325]",rate_name_maxcnt,-1.086921879
0.569116566,0.385601155,"(0.362853535325,+INF)",rate_name_maxcnt,-4.517121047
0.485192121,0.007405516,"(-INF,0.0020703934]",rate_name_mincnt,0.327306438
0.485192121,0.006843399,"(0.0020703934,0.0026954178]",rate_name_mincnt,-0.404523045
0.485192121,4.48E-05,"(0.0026954178,0.0032679739]",rate_name_mincnt,-0.031558732
0.485192121,0.011187852,"(0.0032679739,0.0039370079]",rate_name_mincnt,0.439318193
0.485192121,0.000104319,"(0.0039370079,0.0046082949]",rate_name_mincnt,0.045792629
0.485192121,0.003695749,"(0.0046082949,0.0055248619]",rate_name_mincnt,0.251719579
0.485192121,0.016806694,"(0.0055248619,0.0069444444]",rate_name_mincnt,0.441843717
0.485192121,6.81E-05,"(0.0069444444,0.0083333333]",rate_name_mincnt,-0.031423221
0.485192121,0.022252066,"(0.0083333333,0.0097087379]",rate_name_mincnt,0.626266647
0.485192121,0.021823199,"(0.0097087379,0.0114942529]",rate_name_mincnt,0.551626562
0.485192121,0.000719211,"(0.0114942529,0.0144927536]",rate_name_mincnt,0.097057521
0.485192121,0.000250712,"(0.0144927536,0.0178571429]",rate_name_mincnt,-0.066597848
0.485192121,0.004148889,"(0.0178571429,0.025880785888]",rate_name_mincnt,0.218099479
0.485192121,0.002272001,"(0.025880785888,0.03426066627]",rate_name_mincnt,-0.221244092
0.485192121,0.050089275,"(0.03426066627,0.0555555556]",rate_name_mincnt,-1.068920812
0.485192121,0.337480346,"(0.0555555556,+INF)",rate_name_mincnt,-2.741594314
0.554869232,0.002142402,"(-INF,0.00595655554]",rate_name_avgcnt,-0.210693881
0.554869232,0.004818207,"(0.00595655554,0.00830313506]",rate_name_avgcnt,0.281536934
0.554869232,0.003200415,"(0.00830313506,0.009858939938]",rate_name_avgcnt,-0.275032062
0.554869232,0.015060922,"(0.009858939938,0.012349683408]",rate_name_avgcnt,0.437677964
0.554869232,0.000933543,"(0.012349683408,0.01407898828]",rate_name_avgcnt,0.13164251
0.554869232,0.00545842,"(0.01407898828,0.01680930912]",rate_name_avgcnt,0.275999982
0.554869232,0.000679043,"(0.01680930912,0.01905236059]",rate_name_avgcnt,-0.122671893
0.554869232,0.030246256,"(0.01905236059,0.02153692982]",rate_name_avgcnt,0.70958419
0.554869232,0.007819585,"(0.02153692982,0.025987896]",rate_name_avgcnt,0.307374685
0.554869232,0.022225603,"(0.025987896,0.029524253388]",rate_name_avgcnt,0.630373429
0.554869232,0.010000593,"(0.029524253388,0.0340840478]",rate_name_avgcnt,0.40983066
0.554869232,0.004032524,"(0.0340840478,0.038484622128]",rate_name_avgcnt,-0.313754457
0.554869232,0.002107683,"(0.038484622128,0.0445982314]",rate_name_avgcnt,0.202929415
0.554869232,0.00231555,"(0.0445982314,0.052922855332]",rate_name_avgcnt,-0.228198508
0.554869232,0.006220071,"(0.052922855332,0.0664036818]",rate_name_avgcnt,0.32071245
0.554869232,0.061892705,"(0.0664036818,0.1088435374]",rate_name_avgcnt,-1.046050986
0.554869232,0.126108619,"(0.1088435374,0.182006172812]",rate_name_avgcnt,-2.47071936
0.554869232,0.249607091,"(0.182006172812,+INF)",rate_name_avgcnt,-3.31801722
0.106399368,0.031720214,"(-INF,0.0]",rate_spchar_cnt,-0.279642069
0.106399368,0.001158446,"(0.0,0.0055555556]",rate_spchar_cnt,0.155332006
0.106399368,0.025543803,"(0.0055555556,0.0105263158]",rate_spchar_cnt,0.533176224
0.106399368,0.001340691,"(0.0105263158,0.0151515152]",rate_spchar_cnt,-0.150742524
0.106399368,0.014885844,"(0.0151515152,0.020979021]",rate_spchar_cnt,0.477866135
0.106399368,0.001685472,"(0.020979021,0.0292887029]",rate_spchar_cnt,-0.196305144
0.106399368,0.000541535,"(0.0292887029,0.0540540541]",rate_spchar_cnt,0.078478419
0.106399368,0.002563632,"(0.0540540541,0.107456179108]",rate_spchar_cnt,-0.187936894
0.106399368,0.023698923,"(0.107456179108,0.223774117664]",rate_spchar_cnt,0.631681474
0.106399368,0.003260807,"(0.223774117664,+INF)",rate_spchar_cnt,0.237330841
0.349003442,0.04749003,"(-INF,0.001043584396]",rate_name_if_dup,-0.531748044
0.349003442,0.016391691,"(0.001043584396,0.0021691974]",rate_name_if_dup,0.504534382
0.349003442,0.011894871,"(0.0021691974,0.0027173913]",rate_name_if_dup,-0.560176355
0.349003442,0.000361781,"(0.0027173913,0.0034843206]",rate_name_if_dup,0.078356648
0.349003442,0.001928048,"(0.0034843206,0.0040983607]",rate_name_if_dup,0.184221016
0.349003442,0.017792904,"(0.0040983607,0.0049751244]",rate_name_if_dup,0.512053769
